Title,Company,Location,Salary,Skills,Experience level
Test Lead,7N,"Remote, Warszawa",24 300 - 26 000 PLN,  Karate   Cucumber   Gherkin  ,Senior
Test Manager,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",,  Selenium   Java   Maven  ,Senior
Senior WebMethods Developer,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",,  REST   SOAP   XML  ,Senior
DevOps Engineer (Azure),7N,Remote,20 100 - 25 200 PLN,  Azure   PowerShell   Terraform  ,Senior
Senior Full Stack Java Developer,Oakfusion Sp. z o.o.,"Remote, Wrocław",12 000 - 25 000 PLN,  Java/Frontend/Cloud newest stack ,Senior
Senior Backend Developer - PHP,Miinto,"Remote, Warszawa",,  PHP ,Senior
Chapter Lead - Risk Analytics,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",,  MySQL  ,Senior
Senior Frontend Developer,Oakfusion Sp. z o.o.,"Remote, Wrocław",12 000 - 25 000 PLN,  Java/Frontend/Cloud newest stack ,Senior
SAP EWM Senior Consultant,LeverX Group,Wrocław,,  SAP  ,Senior
DevOps / QA Engineer,SAP Labs Polska,"Remote, Gliwice, Kraków, Wrocław",,  | Java / Python | Jenkins | Git | JIRA | ,Senior
Senior QA Engineer,Diebold Nixdorf,Katowice,,  JIRA   Confluence   JMeter  ,Senior
Senior Business Analyst,T-Mobile Polska S. A.,Warszawa,, ,Senior
Senior Data Engineer / Leader,Power Media,Katowice,,  Python   SQL   R  ,Senior
Senior DevOps Engineer,Power Media,Katowice,,  Selenium   Jenkins   Ansible  ,Senior
Senior Software Engineer C#/.NET,Sieć Badawcza Łukasiewicz- Instytut Lotnictwa,Warszawa,,  C#/.NET ,Senior
Senior .NET developer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  .NET   MS SQL  ,Senior
Główny/-a Specjalista/-ka ds. Rozwoju Oprogramowania (DevOps Squad Member),T-Mobile Polska S. A.,Warszawa,, ,Senior
ETL - Informatica Powercenter Developer,Be | Shaping the Future Poland,Remote,19 200 - 25 600 PLN,  ETL   Informatica  ,Senior
Identity Security Consultant,Predica Sp. z o.o.,"Remote, Warszawa, Lublin",14 000 - 25 000 PLN,  PowerShell  ,Senior
Senior React Developer,Digital Colliers,Remote,16 000 - 30 000 PLN,  JavaScript   React   GraphQL  ,Senior
Cloud DevOps [REMOTE in Poland],Kyndryl,"Remote, Warszawa",15 000 - 24 000 PLN, ,Senior
Offering Architect - DevOps [REMOTE in Poland],Kyndryl,"Remote, Warszawa",18 000 - 32 000 PLN,  Azure   AWS   GCP  ,Senior
Senior Java Developer,j-labs sp. z o.o.,Warszawa,24 000 - 29 600 PLN,  Java   MySQL   AWS  ,Senior
Senior Offering Architect Cloud [REMOTE in Poland],Kyndryl,"Remote, Warszawa",18 000 - 32 000 PLN,  Azure   AWS   GCP  ,Senior
Senior Java Cloud Developer,SAP Labs Polska,"Gliwice, Katowice, Łódź",,  | Java | RDBMS | SAP | SQL | ,Senior
Senior UX Designer,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  |Sketch|InVision|Adobe|HTML|Angular| ,Senior
Windows Packaging Engineer,Be | Shaping the Future Poland,"Remote, Warszawa",Do 23 500 PLN,  Windows   SQL   Installshield  ,Senior
Senior UI Developer,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | SAP / UI5 | Angular / React | REST | ,Senior
IT Technology Senior Consultant,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | SAP | REST | SOAP | Agile | Java | ,Senior
IT Business Partner,PKO BP Finat,"Warszawa, Wrocław",, ,Senior
IT Technology Expert,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | SAP | HANA | ,Senior
Scrum Master,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  Agile ,Senior
Senior AWS Engineer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  AWS  ,Senior
SAP Product Master Data Architect,SAP Labs Polska,"Remote, Warszawa, Poznań, Gliwice",,  | SAP | ABAP | ,Senior
Sales Architecture Consultant,SAP Labs Polska,"Remote, Warszawa, Poznań, Gliwice",,  | SAP Analytics Cloud | C4S | SAP HANA | ,Senior
Java Software Engineer (Revenue Optimizer),Sabre Poland,"Remote, Kraków",9 000 - 26 700 PLN,  Java     Spring    Spring Boot  ,Senior
Starszy Konsultant / Analityk Biznesowo-Systemowy - IT Consulting,KPMG w Polsce ,"Remote, Warszawa",, ,Senior
Senior C++ Engineer (SLAM),Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  C++   C  ,Senior
Lead QA Automation Engineer,Luxoft Poland,Remote,,  C#   JIRA   Java  ,Senior
Senior DevOps,Luxoft Poland,Remote,,  AWS   Azure   Azure  ,Senior
Team lead Data Base developer –  MS SQL,Luxoft Poland,Remote,,  ETL   MS SQL   SQL  ,Senior
Senior Java Developer,Luxoft Poland,"Remote, Kraków",,  AWS   Azure   Azure  ,Senior
Senior DevOps (Linux Environment),Luxoft Poland,Remote,,  Linux   VMware   Windows  ,Senior
Senior Java Developer,Luxoft Poland,"Remote, Kraków",,  Agile   Java   Linux  ,Senior
Senior FullStack Developer,Luxoft Poland,"Remote, Kraków",,  Azure   Azure   Express  ,Senior
Senior-Strong Regular Java Dev/DevOps Engineer,Luxoft Poland,"Remote, Wrocław",,  Jenkins  ,Senior
Senior C Embedded Autosar Classic Engineers,Luxoft Poland,Remote,,  C   XML  ,Senior
Quality Assurance Lead,Polcode Sp. z o.o.,Remote,9 000 - 13 000 PLN,  ISTQB  ,Senior
Senior Business Analyst,Luxoft Poland,Remote,,  Agile   Confluence   Exchange  ,Senior
Senior Full stack developer (Python/Nodejs/React),Luxoft Poland,Remote,,  Express   Python  ,Senior
AWS Data Engineer (Mid/Senior),ONWELO SA,Remote,17 000 - 23 000 PLN,"  AWS, S3, EC2, Glue, Python, SQL ",Senior
Senior Python Developer,Luxoft Poland,Remote,,  AWS   CI   Docker  ,Senior
Senior MS SQL developer,Luxoft Poland,"Kraków, Wrocław",,  SQL   T-SQL  ,Senior
Senior .NET/C# Developer,Enigma SOI,Wrocław,Znamy widełki,  autorski produkt ,Senior
Senior Computer Vision/Deep Learning Engineer,Luxoft Poland,Remote,,  Python  ,Senior
Team Lead frontend developer,Luxoft Poland,Remote,,  Angular   JavaScript  ,Senior
Senior Frontend Developer with Vue.js,Monterail,"Remote, Wrocław",12 400 - 25 000 PLN,  JavaScript   TypeScript   Vue.js  ,Senior
Senior Sybase Developer,Luxoft Poland,Remote,,  CI   Perl   SQL  ,Senior
Senior UI Developer,Luxoft Poland,"Remote, Wrocław",,  CSS   HTML   JavaScript  ,Senior
Lead Cloud Architect (Azure),7N,Remote,24 000 - 32 000 PLN,  Azure  ,Senior
Senior DevOps Engineer,Luxoft Poland,Remote,,  Ant   Apache  ,Senior
Senior Java Developer,Luxoft Poland,"Kraków, Wrocław",,  Groovy   Java  ,Senior
Senior Python Developer,Monterail,"Remote, Wrocław",12 400 - 25 000 PLN,  Python   REST   Django  ,Senior
Software Developer JavaScript [React] Senior,Luxoft Poland,Wrocław,,  CSS   HTML   JavaScript  ,Senior
Senior QA Automation Engineer,Luxoft Poland,"Remote, Kraków",,  Agile   Confluence  ,Senior
Senior Full Stack Developer (C# + Typescript + SQL),Luxoft Poland,Remote,,  C#   SQL   TypeScript  ,Senior
Senior ReactJS Developer,Luxoft Poland,Remote,,  Agile   PostgreSQL  ,Senior
Senior Python Developer (Elastic Stack),Luxoft Poland,Remote,,  Bamboo   Confluence   Git  ,Senior
Technical Lead Engineer,Luxoft Poland,Remote,,  .NET   Git   JIRA  ,Senior
Senior Software Developer C++,Luxoft Poland,Wrocław,,  C++  ,Senior
Senior .NET Developer for financial domain,Luxoft Poland,Remote,,  .NET   C#   Docker  ,Senior
Senior GPU Tool Developer,Luxoft Poland,Gdańsk,,  C   C++  ,Senior
AI GPU Senior Software Architect,Luxoft Poland,"Remote, Gdańsk",,  C   C++   Linux  ,Senior
Senior Java Developer,Luxoft Poland,"Remote, Warszawa",,  Agile   Java  ,Senior
Senior Java Script Developer,Luxoft Poland,"Remote, Kraków",,  Angular   CI   CSS  ,Senior
Senior Java Developer,Luxoft Poland,"Kraków, Wrocław",,  BDD   Cucumber   Java  ,Senior
Senior React Developer,Luxoft Poland,"Remote, Kraków",,  CSS   JavaScript   React  ,Senior
Senior Java Developer,Luxoft Poland,Remote,,  ActiveMQ   Ansible   Java  ,Senior
Senior Tableau Developer,Luxoft Poland,Remote,,  SQL  ,Senior
Senior Java Developer,Luxoft Poland,"Remote, Wrocław",,  Agile   Hadoop   JPA  ,Senior
Senior Full Stack Developer,Luxoft Poland,Remote,,  Angular   Git  ,Senior
Senior Embedded Developer (C++)_CameraDataProvider,Luxoft Poland,Remote,,  C++   Linux  ,Senior
